time	coordination	charge	err	sec	mT
870	3	0.35413333333333336	0.010864182518639035	870	10.875
870	4	-0.7073777777777778	0.014344199815513055	870	10.875
875	3	0.35875555555555555	0.010845061139200583	875	10.9375
875	4	-0.7164444444444444	0.014249901454091229	875	10.9375
880	3	0.3658666666666667	0.010835955466455252	880	11.0
880	4	-0.7297777777777777	0.014177369738422914	880	11.0
885	3	0.37191111111111114	0.010818774842640742	885	11.0625
885	4	-0.7422222222222222	0.014074980341612931	885	11.0625
890	3	0.37937777777777776	0.010801395096628993	890	11.125
890	4	-0.7582222222222222	0.013998961264394354	890	11.125
895	3	0.3863111111111111	0.010786072543070542	895	11.1875
895	4	-0.7712	0.013927856767669389	895	11.1875
900	3	0.39315555555555554	0.010769206709791802	900	11.25
900	4	-0.7848888888888889	0.013867690740143742	900	11.25
905	3	0.3983111111111111	0.010776192200838048	905	11.3125
905	4	-0.7959111111111111	0.013740605326397308	905	11.3125
910	3	0.40497777777777777	0.01075045267967954	910	11.375
910	4	-0.8097777777777778	0.013659137475755114	910	11.375
915	3	0.41155555555555556	0.010756253304981764	915	11.4375
915	4	-0.8220444444444445	0.013613593189197583	915	11.4375
920	3	0.42088888888888887	0.01072251758725929	920	11.5
920	4	-0.8401777777777778	0.013535854787855704	920	11.5
925	3	0.43075555555555556	0.010705825896279914	925	11.5625
925	4	-0.8581333333333333	0.013420046004120828	925	11.5625
930	3	0.43493333333333334	0.010685013038469362	930	11.625
930	4	-0.8693333333333333	0.013373548857715146	930	11.625
935	3	0.4411555555555556	0.010672188626868988	935	11.6875
935	4	-0.8805333333333333	0.013276149875250729	935	11.6875
940	3	0.4474666666666667	0.010657538800072853	940	11.75
940	4	-0.8945777777777778	0.013210376027346394	940	11.75
945	3	0.4533333333333333	0.010661346585043346	945	11.8125
945	4	-0.9064888888888889	0.013151222124378113	945	11.8125
950	3	0.45857777777777775	0.010647663199295408	950	11.875
950	4	-0.9178666666666667	0.013088126267706736	950	11.875
955	3	0.4648	0.010624514992647171	955	11.9375
955	4	-0.9299555555555555	0.013016900292667484	955	11.9375
960	3	0.47102222222222223	0.01060488002432203	960	12.0
960	4	-0.9434666666666667	0.012942395981176219	960	12.0
965	3	0.4777777777777778	0.0105847231826594	965	12.0625
965	4	-0.9553777777777778	0.012890258603256884	965	12.0625
970	3	0.48462222222222223	0.010574620938605664	970	12.125
970	4	-0.9676444444444444	0.012829618299865128	970	12.125
975	3	0.4912	0.010555135836809249	975	12.1875
975	4	-0.9829333333333333	0.012777931608668532	975	12.1875
980	3	0.4968	0.010531482736909152	980	12.25
980	4	-0.9948444444444444	0.012709407245365283	980	12.25
985	3	0.5017777777777778	0.010524742978003284	985	12.3125
985	4	-1.0051555555555556	0.012619559211137344	985	12.3125
990	3	0.5072888888888889	0.01050848351064194	990	12.375
990	4	-1.0167111111111111	0.012570987140727163	990	12.375
995	3	0.5118222222222222	0.010501718775357431	995	12.4375
995	4	-1.0263111111111112	0.012519133045800658	995	12.4375
1000	3	0.5199111111111111	0.010466694478408103	1000	12.5
1000	4	-1.0414222222222222	0.012436961995667037	1000	12.5
1005	3	0.5266666666666666	0.010458473891240282	1005	12.5625
1005	4	-1.056	0.012383484085061283	1005	12.5625
1010	3	0.5337777777777778	0.010426535466005079	1010	12.625
1010	4	-1.0677333333333334	0.012321967230259285	1010	12.625
1015	3	0.5394666666666666	0.010424889387427166	1015	12.6875
1015	4	-1.0803555555555555	0.01227151360466613	1015	12.6875
1020	3	0.5447111111111111	0.01040972563065771	1020	12.75
1020	4	-1.0906666666666667	0.012236744358929928	1020	12.75
1025	3	0.5506666666666666	0.010395789425885786	1025	12.8125
1025	4	-1.1025777777777779	0.012186953920015228	1025	12.8125
1030	3	0.5568888888888889	0.010385612944575953	1030	12.875
1030	4	-1.1141333333333334	0.012146630932901529	1030	12.875
1035	3	0.5612444444444444	0.010382799709250929	1035	12.9375
1035	4	-1.1235555555555556	0.01213843291132576	1035	12.9375
1040	3	0.5671111111111111	0.01038537328339818	1040	13.0
1040	4	-1.1368888888888888	0.012086547015998993	1040	13.0
1045	3	0.5733333333333334	0.01033048000494721	1045	13.0625
1045	4	-1.1502222222222223	0.01201472295891223	1045	13.0625
1050	3	0.5777777777777777	0.01032635732469652	1050	13.125
1050	4	-1.1601777777777778	0.011982200739251513	1050	13.125
1055	3	0.584	0.010317683272186167	1055	13.1875
1055	4	-1.1710222222222222	0.011934489695247411	1055	13.1875
1060	3	0.5904	0.010292273006688602	1060	13.25
1060	4	-1.1845333333333334	0.011876731707727019	1060	13.25
1065	3	0.5968	0.010295827244545254	1065	13.3125
1065	4	-1.1976888888888888	0.011831212841730016	1065	13.3125
1070	3	0.6027555555555556	0.010284237862171332	1070	13.375
1070	4	-1.2101333333333333	0.011812130855077017	1070	13.375
1075	3	0.6096888888888888	0.010261437533830136	1075	13.4375
1075	4	-1.2234666666666667	0.011739309985649295	1075	13.4375
1080	3	0.6146666666666667	0.010242060001641415	1080	13.5
1080	4	-1.232888888888889	0.011714926658406196	1080	13.5
