p	x_c	y_c
626	556.2237755050456	-491.5822535669149
627	556.2237755050456	-528.1613348590022
628	695.279719381307	-445.2302722748278
629	695.279719381307	-481.809353566915
630	648.9277380892199	-491.5822535669149
631	648.9277380892199	-528.1613348590022
632	787.9836819654813	-445.2302722748278
633	787.9836819654813	-481.809353566915
634	741.6317006733943	-491.5822535669149
635	741.6317006733943	-528.1613348590022
636	880.6876445496556	-445.2302722748278
637	880.6876445496556	-481.809353566915
638	834.3356632575685	-491.5822535669149
639	834.3356632575685	-528.1613348590022
640	46.351981292087146	-537.9342348590021
641	46.351981292087146	-574.5133161510893
642	0.0	-584.2862161510892
643	0.0	-620.8652974431762
644	139.0559438762614	-537.9342348590021
645	139.0559438762614	-574.5133161510893
646	92.70396258417429	-584.2862161510892
647	92.70396258417429	-620.8652974431762
648	231.75990646043567	-537.9342348590021
649	231.75990646043567	-574.5133161510893
650	185.40792516834858	-584.2862161510892
651	185.40792516834858	-620.8652974431762
652	324.46386904460996	-537.9342348590021
653	324.46386904460996	-574.5133161510893
654	278.1118877525228	-584.2862161510892
655	278.1118877525228	-620.8652974431762
656	417.16783162878426	-537.9342348590021
657	417.16783162878426	-574.5133161510893
658	370.81585033669717	-584.2862161510892
659	370.81585033669717	-620.8652974431762
660	509.87179421295855	-537.9342348590021
661	509.87179421295855	-574.5133161510893
662	463.51981292087135	-584.2862161510892
663	463.51981292087135	-620.8652974431762
664	602.5757567971327	-537.9342348590021
665	602.5757567971327	-574.5133161510893
666	556.2237755050456	-584.2862161510892
667	556.2237755050456	-620.8652974431762
668	695.279719381307	-537.9342348590021
669	695.279719381307	-574.5133161510893
670	648.9277380892199	-584.2862161510892
671	648.9277380892199	-620.8652974431762
672	787.9836819654813	-537.9342348590021
673	787.9836819654813	-574.5133161510893
674	741.6317006733943	-584.2862161510892
675	741.6317006733943	-620.8652974431762
676	880.6876445496556	-537.9342348590021
677	880.6876445496556	-574.5133161510893
678	834.3356632575685	-584.2862161510892
679	834.3356632575685	-620.8652974431762
680	46.351981292087146	-630.6381974431763
681	46.351981292087146	-667.2172787352633
682	0.0	-676.9901787352635
683	0.0	-713.5692600273504
684	139.0559438762614	-630.6381974431763
685	139.0559438762614	-667.2172787352633
