Exp	frame	abs_C	err	time(s)	field(mT)	time	mT
26.0	220000	0.6266540344225943	0.035372900968796986	2200.0	25.0	2200.0	22.0
26.0	225000	0.627284210526046	0.035368350217205614	2250.0	25.0	2250.0	22.5
26.0	230000	0.6284421052628947	0.03536875216019787	2300.0	25.0	2300.0	23.0
26.0	235000	0.6295157894734252	0.035340896505568015	2350.0	25.0	2350.0	23.5
26.0	240000	0.6292421052628996	0.035347936596385666	2400.0	25.0	2400.0	24.0
26.0	130000	0.5561052631576374	0.033017082426741014	1300.0	16.25	1300.0	13.0
26.0	190000	0.6197473684207598	0.03545525985863958	1900.0	23.75	1900.0	19.0
26.0	125000	0.5445263157891831	0.03268301843496959	1250.0	15.625	1250.0	12.5
26.0	0	0.3762315789463943	0.02443112929993664	0.0	0.0	0.0	0.0
26.0	115000	0.5240842105259637	0.032016684104120584	1150.0	14.375	1150.0	11.5
26.0	245000	0.6299805252905469	0.0353593628194381	2450.0	25.0	2450.0	24.5
26.0	5000	0.3760736842095526	0.02441407119406437	50.0	0.625	50.0	0.5
26.0	10000	0.3757789473674457	0.02441633871810696	100.0	1.25	100.0	1.0
26.0	15000	0.3761368421042921	0.02439916302923983	150.0	1.875	150.0	1.5
26.0	20000	0.3768421052621886	0.02445938103241636	200.0	2.5	200.0	2.0
26.0	25000	0.3771157894727205	0.024468840900267026	250.0	3.125	250.0	2.5
26.0	30000	0.37801052631483	0.024528595711673918	300.0	3.75	300.0	3.0
26.0	35000	0.3788315789464133	0.024623182530459857	350.0	4.375	350.0	3.5
26.0	40000	0.3803789473674704	0.02472300637323991	400.0	5.0	400.0	4.0
26.0	45000	0.3821684210516816	0.024877434817841083	450.0	5.625	450.0	4.5
26.0	50000	0.3843684210516953	0.024998564909705902	500.0	6.25	500.0	5.0
26.0	55000	0.3885052631569795	0.02522546658809342	550.0	6.875	550.0	5.5
26.0	60000	0.3933157894727916	0.025485161835632226	600.0	7.5	600.0	6.0
26.0	65000	0.4000421052622967	0.025910033411322583	650.0	8.125	650.0	6.5
26.0	70000	0.4080947368412779	0.02642369362990601	700.0	8.75	700.0	7.0
26.0	75000	0.4187684210518562	0.02706750340936192	750.0	9.375	750.0	7.5
26.0	80000	0.4294421052624368	0.02757437492517984	800.0	10.0	800.0	8.0
26.0	85000	0.4415157894730251	0.028284832699381406	850.0	10.625	850.0	8.5
26.0	90000	0.4548631578941347	0.0290228500492897	900.0	11.25	900.0	9.0
26.0	95000	0.4693157894731317	0.029679692810376537	950.0	11.875	950.0	9.5
26.0	100000	0.4833157894731835	0.030317272275519405	1000.0	12.5	1000.0	10.0
26.0	105000	0.4978526315785026	0.031009692910604382	1050.0	13.125	1050.0	10.5
26.0	110000	0.5111368421048603	0.031568583733343585	1100.0	13.75	1100.0	11.0
26.0	120000	0.5345052631575813	0.03236460724595748	1200.0	15.0	1200.0	12.0
26.0	250000	0.6305157894734255	0.035346104071281366	2500.0	25.0	2500.0	25.0
30.0	240000	0.6490842105262531	0.03416304356278837	2400.0	25.0	2400.0	24.0
30.0	0	0.3753052631569212	0.024380526888380775	0.0	0.0	0.0	0.0
30.0	135000	0.5853578947366684	0.0335795821593949	1350.0	16.875	1350.0	13.5
30.0	140000	0.5960631578945909	0.033694891676459116	1400.0	17.5	1400.0	14.0
30.0	145000	0.6050947368419595	0.03390884318418345	1450.0	18.125	1450.0	14.5
30.0	150000	0.6122421052630242	0.034073327245748145	1500.0	18.75	1500.0	15.0
30.0	155000	0.6196842105261958	0.03413664305611537	1550.0	19.375	1550.0	15.5
30.0	160000	0.6245999999998589	0.03432072980395832	1600.0	20.0	1600.0	16.0
30.0	165000	0.6293999999998652	0.034384734855822406	1650.0	20.625	1650.0	16.5
30.0	170000	0.632505263157772	0.03440392102631671	1700.0	21.25	1700.0	17.0
30.0	175000	0.6356631578945945	0.03448147125577293	1750.0	21.875	1750.0	17.5
30.0	180000	0.6387368421051253	0.034528871265408635	1800.0	22.5	1800.0	18.0
30.0	185000	0.6402736842104076	0.03442699697241339	1850.0	23.125	1850.0	18.5
30.0	190000	0.6423789473682985	0.03446408007512717	1900.0	23.75	1900.0	19.0
30.0	195000	0.6428105263156795	0.034415340536417136	1950.0	24.375	1950.0	19.5
30.0	200000	0.6439157894735682	0.034397127304217144	2000.0	25.0	2000.0	20.0
30.0	205000	0.6444842105262103	0.03437267703211234	2050.0	25.0	2050.0	20.5
30.0	210000	0.6439263157893711	0.0343387987434585	2100.0	25.0	2100.0	21.0
30.0	215000	0.6446105263156897	0.03436858977470974	2150.0	25.0	2150.0	21.5
30.0	220000	0.6450631578946231	0.034368197783942435	2200.0	25.0	2200.0	22.0
30.0	225000	0.6472631578946434	0.0342459326209507	2250.0	25.0	2250.0	22.5
30.0	230000	0.6481684210525439	0.0342406958957291	2300.0	25.0	2300.0	23.0
30.0	235000	0.6491999999999137	0.034250620978237965	2350.0	25.0	2350.0	23.5
30.0	130000	0.5724421052629507	0.033301033458786315	1300.0	16.25	1300.0	13.0
30.0	125000	0.5598631578944939	0.03304894748335873	1250.0	15.625	1250.0	12.5
30.0	120000	0.5475052631576158	0.032728970438473844	1200.0	15.0	1200.0	12.0
30.0	115000	0.5336105263154668	0.03226360771502037	1150.0	14.375	1150.0	11.5
30.0	5000	0.3756421052621888	0.024382188399978688	50.0	0.625	50.0	0.5
30.0	10000	0.3755368421042889	0.024394946363460547	100.0	1.25	100.0	1.0
30.0	15000	0.3760631578937692	0.024426037558349926	150.0	1.875	150.0	1.5
30.0	20000	0.3766105263148197	0.024445123219756282	200.0	2.5	200.0	2.0
30.0	25000	0.37754736842008935	0.02447971985494224	250.0	3.125	250.0	2.5
30.0	30000	0.3789789473674635	0.024533652619037498	300.0	3.75	300.0	3.0
30.0	35000	0.3801052631569437	0.02461157030820231	350.0	4.375	350.0	3.5
30.0	40000	0.3818315789464221	0.024751123177423843	400.0	5.0	400.0	4.0
30.0	45000	0.3845473684201226	0.02487980894978009	450.0	5.625	450.0	4.5
30.0	50000	0.3875052631569792	0.025143797724073248	500.0	6.25	500.0	5.0
30.0	245000	0.6495052631578224	0.03419516003428269	2450.0	25.0	2450.0	24.5
30.0	55000	0.3919894736833158	0.025426749932956117	550.0	6.875	550.0	5.5
