frame	type	coordination	number	fraction	err	mT
3200	Q = -4	4	1.0	0.1111111111111111	0.0	5.411104756
3200	Q = 0	4	5.387096774193548	0.5985663082437277	0.035578479525673765	5.411104756
3300	Q = +1	3	10.96774193548387	0.34274193548387094	0.01642660641671778	5.562799994
3300	Q = +2	4	2.413793103448276	0.2681992337164751	0.023729173822600293	5.562799994
3300	Q = +3	3	1.64	0.05125	0.0047324236215002275	5.562799994
3300	Q = +4	4	1.0	0.11111111111111113	0.0	5.562799994
3300	Q = -1	3	17.483870967741936	0.5463709677419355	0.015259224563189892	5.562799994
3300	Q = -2	4	1.5	0.16666666666666669	0.012706041664374793	5.562799994
3300	Q = -3	3	2.4642857142857144	0.07700892857142858	0.006116747249572679	5.562799994
3300	Q = -4	4	1.0	0.1111111111111111	0.0	5.562799994
3300	Q = 0	4	5.129032258064516	0.5698924731182797	0.031655056868558594	5.562799994
3400	Q = +1	3	10.870967741935484	0.3397177419354839	0.014831457876192214	5.714495232
3400	Q = +2	4	2.413793103448276	0.2681992337164751	0.024977786993113597	5.714495232
3400	Q = +3	3	1.565217391304348	0.04891304347826087	0.004316058599223358	5.714495232
3400	Q = +4	4	1.0	0.11111111111111112	0.0	5.714495232
3400	Q = -1	3	17.838709677419356	0.5574596774193549	0.015274755584577266	5.714495232
3400	Q = -2	4	1.4	0.1555555555555556	0.012830005981991683	5.714495232
3400	Q = -3	3	2.4444444444444446	0.0763888888888889	0.006741148218014936	5.714495232
3400	Q = -4	4	1.0	0.1111111111111111	0.0	5.714495232
3400	Q = 0	4	5.32258064516129	0.5913978494623657	0.030651623400779943	5.714495232
3500	Q = +1	3	11.258064516129032	0.35181451612903225	0.01587288199291524	5.86619047
3500	Q = +2	4	2.5555555555555554	0.28395061728395055	0.023223208472245932	5.86619047
3500	Q = +3	3	1.391304347826087	0.043478260869565216	0.0037990505185844124	5.86619047
3500	Q = +4	4	1.0	0.11111111111111113	0.0	5.86619047
3500	Q = -1	3	17.322580645161292	0.5413306451612904	0.016032135013915184	5.86619047
3500	Q = -2	4	1.4814814814814814	0.1646090534979424	0.010887865477632059	5.86619047
3500	Q = -3	3	2.466666666666667	0.07708333333333334	0.007299359652804907	5.86619047
3500	Q = -4	4	1.0	0.1111111111111111	0.0	5.86619047
3500	Q = 0	4	5.193548387096774	0.5770609318996418	0.02888215841030695	5.86619047
3600	Q = +1	3	11.193548387096774	0.3497983870967742	0.013856151439306068	6.017885708
3600	Q = +2	4	2.4444444444444446	0.27160493827160487	0.023968526997386445	6.017885708
3600	Q = +3	3	1.4761904761904763	0.046130952380952384	0.005111775011106449	6.017885708
3600	Q = +4	4	1.0	0.11111111111111113	0.0	6.017885708
3600	Q = -1	3	17.580645161290324	0.5493951612903226	0.014547829782139348	6.017885708
3600	Q = -2	4	1.52	0.1688888888888889	0.013021033949071812	6.017885708
3600	Q = -3	3	2.6538461538461537	0.0829326923076923	0.009163037765647076	6.017885708
3600	Q = -4	4	1.0	0.1111111111111111	0.0	6.017885708
