frame	type	coordination	number	fraction	err	time	mT
81000	Q = +1	3	203.8	0.4382795698924731	0.006410061335084775	810.0	10.125
81000	Q = +3	3	27.9	0.06000000000000001	0.0018816350893773035	810.0	10.125
81000	Q = -1	3	198.4	0.4266666666666665	0.0034258933750103307	810.0	10.125
81000	Q = -3	3	34.9	0.07505376344086022	0.004606257728004973	810.0	10.125
82000	Q = +1	3	203.9	0.438494623655914	0.0058011392132430615	820.0	10.25
82000	Q = +3	3	27.7	0.05956989247311827	0.0017573692719901445	820.0	10.25
82000	Q = -1	3	199.6	0.42924731182795695	0.0035293286380189788	820.0	10.25
82000	Q = -3	3	33.8	0.07268817204301076	0.0044973153093500005	820.0	10.25
83000	Q = +1	3	206.1	0.4432258064516129	0.005425817769223297	830.0	10.375
83000	Q = +3	3	26.1	0.0561290322580645	0.0014847537761439411	830.0	10.375
83000	Q = -1	3	199.3	0.4286021505376344	0.003570583342053694	830.0	10.375
83000	Q = -3	3	33.5	0.07204301075268818	0.003903355810770461	830.0	10.375
84000	Q = +1	3	206.3	0.4436559139784945	0.0055066642758734505	840.0	10.5
